Round Number,Day of the game,Date of the game,Time of the game,First team name,First team score,First team win status,Second team name,Second team score,Game location,Stadium Attendees
17,Sunday,10 July,3:20 pm,Hawthorn,86,def.,Adelaide,54,Marvel Stadium,18833
17,Sunday,10 July,2:40 pm,West Coast,53,def. by,Carlton,116,Optus Stadium,43359
18,Friday,15 July,7:50 pm,Western Bulldogs,84,def.,St Kilda,56,Marvel Stadium,25981
18,Saturday,16 July,1:15 pm,Adelaide,86,def. by,Collingwood,91,Adelaide Oval,30110
18,Saturday,16 July,1:45 pm,Greater Western Sydney,59,def. by,Brisbane Lions,99,Manuka Oval,9010
18,Saturday,16 July,4:35 pm,North Melbourne,92,def.,Richmond,88,Marvel Stadium,22666
18,Saturday,16 July,7:25 pm,Carlton,55,def. by,Geelong,85,MCG,68208
18,Saturday,16 July,5:30 pm,Fremantle,65,def. by,Sydney,82,Optus Stadium,46596
18,Sunday,17 July,1:10 pm,Hawthorn,102,def.,West Coast,77,MCG,22598
18,Sunday,17 July,2:50 pm,Melbourne,83,def.,Port Adelaide,69,TIO Traeger Park,6312
18,Sunday,17 July,4:40 pm,Essendon,103,def.,Gold Coast,55,Marvel Stadium,23484
19,Friday,22 July,7:50 pm,Richmond,52,drew with,Fremantle,52,Marvel Stadium,23549
19,Saturday,23 July,1:45 pm,North Melbourne,75,def. by,Hawthorn,121,Blundstone Arena,9713
19,Saturday,23 July,1:45 pm,Sydney,118,def.,Adelaide,85,SCG,25084
19,Saturday,23 July,4:05 pm,Port Adelaide,94,def. by,Geelong,106,Adelaide Oval,30937
19,Saturday,23 July,7:10 pm,Brisbane Lions,110,def.,Gold Coast,93,The Gabba,21467
19,Saturday,23 July,7:25 pm,Western Bulldogs,110,def.,Melbourne,100,Marvel Stadium,26501
19,Sunday,24 July,1:10 pm,Carlton,90,def.,Greater Western Sydney,54,Marvel Stadium,30295
19,Sunday,24 July,3:20 pm,Collingwood,80,def.,Essendon,76,MCG,72402
19,Sunday,24 July,2:40 pm,West Coast,62,def. by,St Kilda,90,Optus Stadium,35665
20,Friday,29 July,6:10 pm,Fremantle,39,def. by,Melbourne,85,Optus Stadium,46313
20,Saturday,30 July,1:45 pm,Collingwood,88,def.,Port Adelaide,82,MCG,40716
20,Saturday,30 July,2:10 pm,Sydney,112,def.,Greater Western Sydney,39,SCG,31916
20,Saturday,30 July,4:35 pm,St Kilda,75,def.,Hawthorn,63,Marvel Stadium,25348
20,Saturday,30 July,7:25 pm,Geelong,94,def.,Western Bulldogs,66,GMHBA Stadium,22106
20,Saturday,30 July,7:00 pm,Adelaide,84,def.,Carlton,55,Adelaide Oval,35666
20,Sunday,31 July,1:10 pm,Gold Coast,107,def.,West Coast,104,Metricon Stadium,8282
20,Sunday,31 July,3:20 pm,Richmond,104,def.,Brisbane Lions,97,MCG,39056
20,Sunday,31 July,4:40 pm,Essendon,114,def.,North Melbourne,66,Marvel Stadium,29549
21,Friday,5 August,7:50 pm,Melbourne,89,def. by,Collingwood,96,MCG,70956
21,Saturday,6 August,1:45 pm,Hawthorn,70,def.,Gold Coast,63,University of Tasmania Stadium,9022
21,Saturday,6 August,2:10 pm,Greater Western Sydney,96,def.,Essendon,69,Giants Stadium,7772
21,Saturday,6 August,4:35 pm,Western Bulldogs,78,def. by,Fremantle,95,Marvel Stadium,24130
21,Saturday,6 August,7:25 pm,Geelong,110,def.,St Kilda,65,GMHBA Stadium,20583
21,Saturday,6 August,7:10 pm,Port Adelaide,71,def. by,Richmond,109,Adelaide Oval,27091
21,Sunday,7 August,1:10 pm,North Melbourne,88,def. by,Sydney,126,Marvel Stadium,19091
21,Sunday,7 August,3:20 pm,Brisbane Lions,114,def.,Carlton,81,The Gabba,31011
21,Sunday,7 August,2:10 pm,West Coast,86,def. by,Adelaide,102,Optus Stadium,50117
22,Friday,12 August,7:50 pm,St Kilda,66,def. by,Brisbane Lions,81,Marvel Stadium,22211
22,Saturday,13 August,1:45 pm,Western Bulldogs,62,def.,Greater Western Sydney,57,Marvel Stadium,18301
22,Saturday,13 August,1:40 pm,Adelaide,103,def.,North Melbourne,74,Adelaide Oval,28802
22,Saturday,13 August,4:35 pm,Gold Coast,59,def. by,Geelong,119,Metricon Stadium,14728
22,Saturday,13 August,7:25 pm,Melbourne,79,def.,Carlton,74,MCG,55705
22,Saturday,13 August,5:40 pm,Fremantle,71,def.,West Coast,47,Optus Stadium,53816
22,Sunday,14 August,1:10 pm,Richmond,128,def.,Hawthorn,67,MCG,59338
22,Sunday,14 August,3:20 pm,Sydney,77,def.,Collingwood,50,SCG,44659
22,Sunday,14 August,4:40 pm,Essendon,62,def. by,Port Adelaide,146,Marvel Stadium,20568
23,Friday,19 August,7:50 pm,Brisbane Lions,57,def. by,Melbourne,115,The Gabba,32172
23,Saturday,20 August,1:45 pm,Greater Western Sydney,69,def. by,Fremantle,89,Manuka Oval,7338
23,Saturday,20 August,2:10 pm,North Melbourne,47,def. by,Gold Coast,114,Marvel Stadium,14196
23,Saturday,20 August,4:35 pm,Geelong,131,def.,West Coast,46,GMHBA Stadium,21098
23,Saturday,20 August,7:25 pm,Essendon,75,def. by,Richmond,141,MCG,58366
23,Saturday,20 August,7:00 pm,Port Adelaide,111,def.,Adelaide,55,Adelaide Oval,50090
23,Sunday,21 August,1:10 pm,Hawthorn,64,def. by,Western Bulldogs,87,University of Tasmania Stadium,13105
23,Sunday,21 August,3:20 pm,Carlton,74,def. by,Collingwood,75,MCG,88287
23,Sunday,21 August,4:40 pm,St Kilda,74,def. by,Sydney,88,Marvel Stadium,23344
Qualifying finals,Friday,2 September,7:50 pm,Melbourne,69,def. by,Sydney,91,MCG,78377
